Enuncia la tercera ley de la termodinamica:,La entropia de una sustancia pura cristalina a 0 K es 0
¿Cuál es la raiz cuadrada de 115?,10.7238
¿Cuantos huesos tiene el cuerpo humano de un adulto?,206
¿En qué parte del cuerpo humano se produce la insulina,En el pancreas
¿Cuál es el único mamífero capaz de volar?,El murcielago
¿Que es la velocidad?,El cambio de posición con respecto al tiempo
Define la velocidad angular (va) en terminos de la frecuencia (f):,va=2*Pi*f
¿Quién escribió Hamlet?,William Shakespeare
¿Cuanto es 3/2?,1.5
Escribe la fórmula química del bicarbonato de sodio:,NaHCO3
